[0:00]  Buenas. Buenas noches.
[1:45:25]  Los jóvenes, te hablando de los jóvenes, es un salío barra.
[1:45:31]  No hay que decir, no, te hablando de los jóvenes.
[1:45:35]  No hay que decir.
[1:45:41]  Viren a lo viejo, difícilmente ayan alguien a quien no lo llaman en su casa.
[1:45:50]  Como con azúcar, a, claro, debete a la el posilio a la cami hacia si...
[1:45:56]  Y se ve, es condido, es condido en nadie.
[1:45:58]  Los otros días cuando la mamá iba a despertar uno de los primeros que había el posilio.
[1:46:02]  leche con azúcar, no se lo recomiendo.
[1:46:09]  Ajá.
[1:46:18]  Ajá, mi vaso de taco frío, sucedia con tese que yo le pregunté a Cori, si ella sabía de
[1:46:23]  esto operación y por qué no habían comentado nada, pero ella muy friamente me dijo que
[1:46:29]  debían cuidar el poquito capital político que le quedaba.
[1:46:33]  El cual no pasa de un 6%.
[1:46:35]  Dios de, la verdad yo creo que Cori y sus cercanos se están haciendo los...
[1:46:20]  Deja contése que yo le pregunté a Cori, si ella sabía de esto operación y por qué no habían
[1:46:25]  comentado nada, pero ella muy friamente me dijo que debían cuidar el poquito capital político
[1:46:31]  que le quedaba. El cual no pasa de un 6%. Dios, la verdad yo creo que Cori y sus cercanos
[1:46:38]  se están haciendo los locos, porque ellos saben que si aparecen otra vez vendiendo falsas
[1:46:43]  esperanza y el va a pasar, pero luego no ocurren nada, entonces los radicarles lo van a
[1:46:48]  quemar vivo o sea, que Chimbo es que ahora te odio la gente que tú mismo enseñaste o diarlo.
[1:46:55]  No formaba. Mi asemita carachera.
[1:47:01]  Tó bien, trujillo, trujillo carachera. A tién es como se llama unos clavito a clavito dulce.
[1:47:10]  Lo que se te puedo confirmar es que Cori está llena de rencoro, porque la mayoría de los países
[1:47:16]  de la región todavía no se pliegan al desesperado plan de agradir a Venezuela. Y tan solo
[1:47:21]  cinco países se han plegado declarar el inesistente cartel de los soles como organización criminal,
[1:47:28]  que por cierto, la mayoría son países que le deben platar a Venezuela, porque me imagino
[1:47:34]  que los gringos le dijeron no, cuando llevan gobierno nuevo, te no pagan nada. Nosotros hablamos
[1:47:40]  con ellos. Nosotros vamos a seguir cobrando. A bien aderoy, te, a bien aderoy que se llama
[1:47:46]  de la verdad. Esos americanas, vamos a seguir cobrando, por mucho que declaré te vamos a reclamar
[1:47:51]  que le paguen en Venezuela lo que le deben.
[1:47:55]  Tío.
[1:48:05]  Esto quiere decir que a pesar de la licatente que tiene el líder marco para apretar a los mandatarios
[1:48:10]  del continente, nuestra verdad se resiste a morir. Numerar la verdad es, no me la verdad es.
[1:48:21]  Cori también está odiando la oea, porque ya no los pueden manipular como así con el
[1:48:26]  fiozo, se lo luja al magro. Con eso, Cori está semana, dio la orden a sus cicarios digitales
[1:48:32]  de que atacan a la oea y a sus secretarios generales.
[1:48:36]  Se espera que los próximos días, Cori, gire la orden de atacar a los países que todavía
[1:48:41]  se mantienen neutrales como el Salvador, panamapa y se es bajo sobre todo por la pollo impartial
[1:48:46]  en Curacao.
[1:48:49]  Mi galleta reinita.
[1:48:51]  Se existe todavía, si, ¿vale?
[1:48:54]  Porque me me mandaron esto.
[1:49:02]  Hablando de mi ramarbe.
[1:49:06]  Entonces, no se ha miramarse a mi racielos.
[1:49:11]  Café pasa que acá o naranja y frutos secos recubiertos con chocolate al 70%
[1:49:17]  me lo mandaron.
[1:49:18]  Fábricado por Cacagua, chocolate y tiene almendra, veían a pase con chenoranja, recubiertos,
[1:49:24]  chocolate tipo, batanemos barinas o barloento, hecho con cacados 100% en solar.
[1:49:29]  No emirangar pero mira cielo.
[1:49:34]  Y no lo voy a pelar.
[1:49:52]  Cori sabe que no es la reina en el tablero de agedres, aduras penas es un peón sacrificable.
[1:49:58]  Pero ella insisten hacer el que Rubio y la mafia cubano Americana juega con ella.
[1:50:03]  Marco Rubio es el arquitecto de la máxima presión y en su juego soluta y le dice a Cori
[1:50:07]  y a mí te he un mundo para intentar vender la persección de que esto es un plan acordado
[1:50:12]  con los Venezuela.
[1:50:13]  Lo que Rubio no quiere asumir es que Cori y te yo solo representa un 6% los Venezuela
[1:50:19]  que están fuera del país y los que están dentro pero su fue un alto índice de disociación.
[1:50:25]  Si chicha del clac con canela y le checondensa.
[1:50:30]  En que se aclaran, no chicha, no lo sé más.
[1:50:36]  ¡Ah, buena!
[1:50:44]  No he chicha, mi chicha del clac, no he chicha, con canela y le checondensa.
[1:50:50]  ¿Te cué?
[1:50:51]  ¿Te caste el lado con eso?
[1:50:55]  ¿Y hasta que sí yo también hace?
[1:50:58]  Te he cuenta que Cori anda trabajando en un plan para quebrar militares.
[1:51:02]  Pero como haya estoxica, no lo hace directos, sino a través de su tío Carlos Blanco.
[1:51:09]  Quien es el encargado en mapiar junto a otros militares que fueron dado debajo o jubilados
[1:51:13]  a los cuadros militares más estratégicos de nuestra fán.
[1:51:16]  Ahí van a choque a hacerlos abierto.
[1:51:18]  Se los estoy a ver tiempo.
[1:51:22]  Cuando el objeto ya es virtiendo con tiempo.
[1:51:31]  Cuando Carlos Blanco tiene el Estado oficial escondatos de contacto directo y o familiares
[1:51:35]  de ese efectión militar.
[1:51:38]  Él le pasa a la lista a mis amigues, los gringo.
[1:51:41]  Y estos son los que hacen el contacto de forma directa a través de misarios, comenzan
[1:51:44]  a llamar a los familiares.
[1:51:46]  Y las respuestas, vayanse al carajo.
[1:51:50]  Los familiares de nuestra militar, y se vayanse al carajo.
[1:51:54]  Vayanse al carajo.
[1:52:01]  Mi heladito de tres sabores con lluvia de chocolate.
[1:52:05]  Eso es de esa freza, mantecada de chocolate.
[1:52:08]  Te cuento que yo me enamara y su segundo en la embajada de Estados Unidos en Bogotá.
[1:52:15]  Están en un plan que consiste en llamar y se deducir a personalidades del mundo
[1:52:19]  positivo y a los seudo chavistas descontentos o personas.
[1:52:23]  Y alguna vez trabajaron el gobierno, los contactan.
[1:52:26]  Les piden listas para postular nombres que gobierna en una transición, incluyendo el
[1:52:31]  nombre de la persona que está siendo tocado.
[1:52:34]  Diosdi, están más agiando egos, están ofreciendo billas y castillos.
[1:52:40]  Pero el pueblo la patria está tomando notas porque aquí todos se sabe.
[1:52:45]  Eso tiene que ver con gente que te da los invitan a uno, a uno, fóuros.
[1:52:50]  Y le dice, no, vamos a hacer un foro en tal lugar y todo está siendo invitado con carácter
[1:52:54]  con suema de protagonista.
[1:52:57]  Y ahí es donde no debe preguntarse a sí mismo.
[1:53:00]  Mi mismo.
[1:53:01]  ¿Qué hice yo para que me inviten?
[1:53:05]  El Egito es.
[1:53:07]  El Eggo.
[1:53:08]  Si digo que.
[1:53:11]  Mi cocete y te como a veces.
[1:53:18]  ¿Dapasando otro nivel, ¿eh?
[1:53:20]  No, no, no, no, no, no, no, no.
[1:53:24]  No, no, no, no, no, no.
[1:53:28]  Mi cocete como a veces.
[1:53:30]  Te cuento que el departamento de Estado le abrió de nuevo un conducto de financiamiento
[1:53:36]  a cor y para el tema comunicacional.
[1:53:38]  ¿Qué es donde ellos el departamento de Estado dice que se deman tener la presión?
[1:53:42]  Es decir, Michiqui Baby.
[1:53:44]  Toda la desestabilización psicológica que está sufriendo nuestra gente.
[1:53:49]  Los insultos, el cicariano digital anti-democrático,
[1:53:52]  se está pagando con dinero los contribuyentes estadounidenses.
[1:53:55]  Esta vez el dinero humanesa directamente magali,
[1:53:59]  puesto que los periodistas en influencias de la nomina de Cori,
[1:54:02]  rechazaron, trabajar con la piososa de Claudia Masero,
[1:54:06]  porque legan que es una mujer arrogante, no, carajo el Magalino.
[1:54:13]  Mi teta de colita con leche.
[1:54:15]  El...
[1:54:23]  El silencio discresional sea convertido en la herramienta favorita de Cori para no contraste
[1:54:29]  y la subestadero de FFF y financiertas.
[1:54:31]  Por ejemplo, Cori siguen silencio sobre el tema de nuestro migrante.
[1:54:34]  No, seguro que ella mañana está comunicado, rechazando la eliminación del TPS de los
[1:54:40]  el 21.
[1:54:41]  Seguro.
[1:54:42]  Lo van a ver ustedes en la red, no se cree.
[1:54:46]  Por ejemplo, Cori sigue en silencio sobre el tema de nuestro migrante.
[1:54:52]  Mientras Marco Rubio ya nos montaba todo un faynio
[1:54:55]  para hacernos que dar como un país que supuestamente es porta más drogas,
[1:54:59]  que ecuador, que somos un arco estado.
[1:55:01]  Hoy se confirma la solicitud que en su mundo, en su momento hizo Rubio,
[1:55:06]  para que los Venezuela no les quitaran el TPS y más de 250.000 compatriotas
[1:55:12]  para partir del primero de septiembre, se quedan sin ningún tipo de protección
[1:55:16]  en Estados Unidos, es decir, la incoherencia total que viva Cori.
[1:55:20]  Esto es pedido por Marco Rubio por Maracolino Machado,
[1:55:24]  por todo el grupo de los que era disicuido.
[1:55:26]  Pero vean el lado bueno, carlangó la tecoma las ayacas aquí.
[1:55:32]  ¿A ya que Estados Unidos no te vas a comer ayacas?
[1:55:36]  Aquí sí.
[1:55:38]  Dios adiós a José.
[1:55:40]  Listen tu mí que es en la parte donde en la que me pongo tóxica.
[1:55:47]  Como Cori no ha podido con el nicumaduro,
[1:55:49]  de decidió avanzar en América Latina.
[1:55:52]  Ella va a postar a que su amigo, el piojoso de Toto Quiroga,
[1:55:55]  ganen Bolivia, ayudándolo con su lesión de box
[1:55:58]  para que atacan a Rodrigo Paz.
[1:56:00]  Por otro lado, Cori va a postar y trabajar con Miguel Uríbe,
[1:56:03]  a quien ya empezó a ayudar a través de su padre político al Baruríbe
[1:56:07]  Veles, por eso es que Miguel Uríbe ha estado atacando Vemente a Venezuela
[1:56:13]  con la misma narrativa que usa Cori.
[1:56:15]  Dios mí.
[1:56:16]  Si Miguel Uríbe gana, reviviremos el tío de relación en...
[1:56:00]  Paso. Por otro lado, Cori va a postar y trabajar con Miguel Uríbe,
[1:56:03]  a quien ya empezó a ayudar a través de su padre político Álvaro Uríbe Veles,
[1:56:08]  por eso es que Miguel Uríbe ha estado atacando vehementemente a Venezuela,
[1:56:13]  con la misma narrativa que usa Cori. Dios mí.
[1:56:16]  Si Miguel Uríbe gana, reviviremos el tío de relación entre ambos países,
[1:56:21]  como el que vivimos en los cuatro años de Iván Duque.
[1:56:24]  Como ya te lo he dicho, quieren ir por los vecinos para ver si así lo gran llegaron a nosotros.
[1:56:29]  Eso es decir, no se pudieran al sartan bien, oye.
[1:56:37]  Pero la historia no termina aquí y me bombo en rellero.
[1:56:42]  Cori dijo en una reunión virtual con Álvaro Uríbe que su misión es acabar con toda la alianza
[1:56:47]  latinoamericana que en su momento construyó gochaves.
[1:56:50]  Pues según Cori, esto es una nueva era. Cori ya propuso eliminar el Álvaro.
[1:56:55]  El Caricón y el Mercosur para crear sus propios organizaciones regionales
[1:56:59]  sin la influencia de la izquierda.
[1:57:02]  Describo y me siento como en la película de la Dama y el vagabundo.
[1:57:05]  Yo una princesa y tú un cacri, extraña, me.
[1:57:08]  Recuerda que eres mi bebé, Vito. Fio, Fio.
[1:57:12]  No me la la verdad es.
[1:57:16]  La verdad es revolucionaria.
[1:57:19]  A estamos aquí, mi debo de la Sallona, Mariacorina Machagola,
[1:57:21]  tan se dio un versión a la Ya empezó.
[1:57:23]  Gracias por informarnos.
[1:57:39]  ¿Un radén? ¿Un radén con los mismos?
[1:57:41]  No, no, no, no, no.
[1:57:42]  No, no, no, no.
[1:57:42]  No, no, no.
[1:57:43]  No, no, no.
[1:57:44]  No, no.
[1:57:45]  No, no.
[1:57:45]  No, no.
[1:57:46]  No, no.
[1:57:47]  No, no.
[1:57:48]  No, no.
[1:57:49]  No, no.
[1:57:50]  No, no.
[1:57:51]  To carvesar, abrazar, mirar a los ojos.
[1:57:54]  Domia b patriota.
[1:57:55]  Pero el mismo tiempo yo quiero decirte que me haber emitido
[1:57:59]  concentrar, excluísivamente.
[1:58:02]  En nataré a lograr la estab将 de Venezuela.
[1:58:05]  Ha, a trabajar todos los días de mi vida.
[1:58:08]  Y laoutine.
[1:58:09] ángido de la noche engabanzar en esta tarea.
[1:58:12]  Y incluso Yo te diría que actualmente también
[1:58:15]  hace una experiencia deendum y mi hellen como nos dwam Kerissina.
[1:58:18]  Sí, bueno.
[1:58:20]  que se tiene.
[1:58:22]  Sin embargo el país en este momento
[1:58:25]  enfrenta con gran fortalecericnidad
[1:58:27]  que sabemos que será el de
[1:58:29]  este enorme lucha y que traeran a la
[1:58:32]  libertad a ver mis sueños.
[1:58:34]  Lo que más duene son las agresiones
[1:58:36]  al honor y la mentira,
[1:58:38]  la brutal de sínismo, son la
[1:58:40]  maldada solutan.
[1:58:42]  Sí, excelé,
[1:58:43]  con un país que tiene las mayores
[1:58:46]  reservas de petroleras
[1:58:48]  y con un país que se
[1:58:49]  se atrapó en la que hay
[1:58:50]  y todo esto se ha hecho
[1:58:52]  y tengo
[1:58:55]  ...
[1:59:02]  Entregó el territorio
[1:59:04]  en el solano de nuestro recurso
[1:59:06]  de nuestras instituciones
[1:59:08]  al trina del mundo interno.
[1:59:10]  No solo la de language
[1:59:11]  organizada,
[1:59:12]  fomentando y dirigiendo
[1:59:14]  organizaciones como
[1:59:16]  al trinque por landlord Washington
[1:59:20] nea.
[1:59:22]  La gran regina es
[1:59:22]  la harmilía y tiringar
[1:59:23] 或者
[1:59:25]  actualiz donkey
[1:59:42]  en las Jia 김밥arius
[1:59:44]  nosotros lo que lo hemos pedido en la comunidad internacional es que se corte
[1:59:48]  ese flugo de dinero que viene del tráfico de droga, del lavado de dolares,
[1:59:53]  del tensir huito, del oro de sangre y del mercado negro de petróleo y otras
[1:59:59]  sustancias. Y es lo que hoy pedimos que todo esto se le tenga como
[2:00:02]  estructura criminal en el momento que le corta si los flujos de ingreso comienes
[2:00:06]  al colachio.
[2:00:07]  De esta ingenu debe ser alguien para creer en una persona que medio tiene
[2:00:12]  bolsería, medio esa persona tiene una bolsería y empieza a pedir sanciones y lo que
[2:00:16]  he dado contra su propio país.
[2:00:17]  generando una realidad económica que hace que un montón de personas tengan que
[2:00:20]  buscar mejores condiciones en otros países, que cualquier persona con 4 de
[2:00:24]  frente sabe que las sanciones y bloqueo económico generan crisis y
[2:00:28]  dificultad de economía que van a cualquier país, sin importar de gobierno
[2:00:30]  que te hay.
[2:00:31]  El chavismo pretendido es que su vida hace su inicios enfrentar y
[2:00:34]  dividir a la sociedad.
[2:00:35]  Rico es pobre, blanco, negro, quiere y derecha civiles y limitares, los que
[2:00:40]  estamos adentro lo que han tenido que irse.
[2:00:42]  El primero que nosotros hicimos fue nada no hay no existen.
[2:00:46]  Nosotros hoy obtenemos no sólo el apoyo del 90% de la población, tan bien
[2:00:51]  dentro de las fuerzas militares y policiales.
[2:00:54]  Bueno, una locita por una locita por una locita.
[2:00:58]  Yo, mío, te que le ha adoptado?
[2:01:01]  Porque tú no puedes estar el tre, la justicia y el que tiene, entre la verdad era
[2:01:05]  mentira.
[2:01:06]  De este momento y este en desafío, y el dilema que tiene en el insisto, los militares
[2:01:11]  de las anesolanas, pero también los gobiernos de América Latina.
[2:01:14]  En ti, es verdad?
[2:01:15]  Hemos que no.
[2:01:16]  Esto es una lucha existencial ni en la lucha por los valores, el que significa una
[2:01:22]  republica, o que significa la democracia, nosotros estamos listos para transformar a
[2:01:27]  Venezuela del job de el centro, del crimen mundial, en el centro, de la energía, de la
[2:01:34]  prosperidad y de la libertad.
[2:01:37]  Yo quiero que los menestoranos que se han ido regresen, y yo sé que, mitiones van a
[2:01:42]  volver en el instante en que la un dos salga del poder mónica.
[2:01:46]  No sé lo fácil lograr que la comunidad internacional reconociera la verdadera
[2:01:50]  naturalesa del régimen narcotelorista, que a día que pasa se sigue resierrecer
[2:01:55]  o que los democráticas y Occidente le han impuesto al cartel narcotelorista, que
[2:02:00]  sigue en viraflore.
[2:02:01]  Sabemos que los niñas de sorganizachin y un criminal están contaros, porque así lo decidimos
[2:02:08]  los veresolanos y contamos con el apoyo de los democratar del mundo.
[2:02:12]  Alta poco para que Venezuela sea libre, esto va a pasar porque están luchadas tan final.
[2:02:17]  ¿No dijo?
[2:02:19]  Lo dijo?
[2:02:20]  Porque este proceso es in de tenible.
[2:02:23]  ¿Qué esto?
[2:02:24]  Una entrevista en la que dice, no, es que Venezuela yo supongo, no haya su pone, sin ningún tipo
[2:02:28]  de la prueba.
